method,budget,n_keep,corruption_rate,behavioral_region_coverage,average_quality,nn_redundancy,stationary_content_ratio,visual_coverage,motion_coverage,task_diversity,scene_diversity,lab_diversity,operator_diversity,greedy_recomputed,n_rescore_passes,n_corrupt_in_pool,n_corrupt_retained,corrupt_retained_frac,n_dup_retained,n_idle_retained,n_over_retained
EgoSelect,0.1,8,0.0,1.0,0.9987407394871763,0.11962083528790517,0.008395070085491202,0.6267586698581181,0.9999913517732748,0.8,0.25,1.0,0.11428571428571428,True,80.0,0,0,0.0,0,0,0
Dedup-only,0.1,8,0.0,1.0,0.9957198557222747,0.05387562846667186,0.0285342951848351,0.6710675089999623,0.9999855768310738,1.0,0.2916666666666667,1.0,0.11428571428571428,,,0,0,0.0,0,0,0
Diversity-only,0.1,8,0.0,1.0,0.9925105559880294,0.3104635868130009,0.04992962674647061,0.5747228245297158,0.9999880863727093,0.8,0.25,1.0,0.11428571428571428,,,0,0,0.0,0,0,0
Random,0.1,8,0.0,0.6666666666666666,0.9975213785426229,0.30773956060871466,0.016524143049180116,0.6358424567158693,0.999987469404234,0.8,0.16666666666666666,1.0,0.11428571428571428,,,0,0,0.0,0,0,0
EgoSelect,0.2,16,0.0,1.0,0.9988540022436203,0.31688768439313186,0.00763998504253086,0.7271745845938289,0.9999954624765515,1.0,0.4583333333333333,1.0,0.22857142857142856,True,80.0,0,0,0.0,0,0,0
Dedup-only,0.2,16,0.0,1.0,0.9956889422629817,0.2866032183415541,0.02874038491345519,0.7407166429767594,0.9999956015561438,1.0,0.375,1.0,0.21428571428571427,,,0,0,0.0,0,0,0
Diversity-only,0.2,16,0.0,1.0,0.9928006587115771,0.4185252318128555,0.0479956085894864,0.718751398711803,0.9999916668407234,1.0,0.4583333333333333,1.0,0.22857142857142856,,,0,0,0.0,0,0,0
Random,0.2,16,0.0,0.6666666666666666,0.9959535475142098,0.48934848869125913,0.02697634990526715,0.6939469709807942,0.9999951546157287,0.8,0.25,1.0,0.22857142857142856,,,0,0,0.0,0,0,0
EgoSelect,0.3,24,0.0,1.0,0.9985956788113824,0.4064373500596627,0.009362141257450947,0.7846445636986337,0.9999963813144811,1.0,0.5416666666666666,1.0,0.3142857142857143,True,80.0,0,0,0.0,0,0,0
Dedup-only,0.3,24,0.0,1.0,0.9951327556763486,0.37696172392743404,0.03244829549100848,0.782744204226476,0.999997193307139,1.0,0.5,1.0,0.32857142857142857,,,0,0,0.0,0,0,0
Diversity-only,0.3,24,0.0,1.0,0.992672447163093,0.48474485842451576,0.048850352246046724,0.7725695987294834,0.9999953273121923,1.0,0.5833333333333334,1.0,0.34285714285714286,,,0,0,0.0,0,0,0
Random,0.3,24,0.0,0.8333333333333334,0.9945909081853403,0.5342401629269747,0.036060612097730704,0.772965927265686,0.9999964892124217,1.0,0.375,1.0,0.34285714285714286,,,0,0,0.0,0,0,0
EgoSelect,0.4,32,0.0,1.0,0.9983304709966204,0.48745985504206174,0.011130193355864196,0.8232419757903646,0.9999975959871176,1.0,0.625,1.0,0.4142857142857143,True,80.0,0,0,0.0,0,0,0
Dedup-only,0.4,32,0.0,1.0,0.9949838653962741,0.45601730550350905,0.03344089735817249,0.8247777481490758,0.9999978963120926,1.0,0.5833333333333334,1.0,0.42857142857142855,,,0,0,0.0,0,0,0
Diversity-only,0.4,32,0.0,1.0,0.993458853148804,0.504723360827344,0.04360764567463993,0.8233145140065602,0.9999973999289871,1.0,0.5833333333333334,1.0,0.45714285714285713,,,0,0,0.0,0,0,0
Random,0.4,32,0.0,0.8333333333333334,0.9955286362397373,0.6560197457837209,0.029809091735084885,0.8070735758791804,0.9999982311381952,1.0,0.4166666666666667,1.0,0.45714285714285713,,,0,0,0.0,0,0,0
EgoSelect,0.5,40,0.0,1.0,0.9983552505221807,0.5846266723382413,0.010964996518795279,0.8579162154886039,0.9999978664198107,1.0,0.6666666666666666,1.0,0.5,True,80.0,0,0,0.0,0,0,0
Dedup-only,0.5,40,0.0,1.0,0.995270792458782,0.5164471976278333,0.031528050274786903,0.8607008857684374,0.9999985185483939,1.0,0.625,1.0,0.5142857142857142,,,0,0,0.0,0,0,0
Diversity-only,0.5,40,0.0,1.0,0.994236278801911,0.5268992038287246,0.03842480798726025,0.8623139595903904,0.9999975090526014,1.0,0.7916666666666666,1.0,0.5571428571428572,,,0,0,0.0,0,0,0
Random,0.5,40,0.0,1.0,0.9946792708899796,0.6443841434962305,0.035471527400136246,0.8454469947765816,0.9999987124053907,1.0,0.5416666666666666,1.0,0.5428571428571428,,,0,0,0.0,0,0,0
EgoSelect,0.75,60,0.0,1.0,0.9977765668529716,0.6806823969790042,0.014822887646855574,0.9293116948684051,0.9999990901415139,1.0,0.9583333333333334,1.0,0.7571428571428571,True,80.0,0,0,0.0,0,0,0
Dedup-only,0.75,60,0.0,1.0,0.995452015629448,0.6286830752174417,0.030319895803679994,0.940406140138155,0.9999992752654169,1.0,0.8333333333333334,1.0,0.7571428571428571,,,0,0,0.0,0,0,0
Diversity-only,0.75,60,0.0,1.0,0.9951741539419737,0.6256424276349816,0.032172307053509194,0.9435996540079312,0.9999994561143483,1.0,0.875,1.0,0.7857142857142857,,,0,0,0.0,0,0,0
Random,0.75,60,0.0,1.0,0.9952560421491276,0.6971745444163925,0.03162638567248385,0.9258832784325307,0.999999392213331,1.0,0.75,1.0,0.7857142857142857,,,0,0,0.0,0,0,0
EgoSelect,1.0,80,0.0,1.0,0.9957156180149047,0.7216681152708333,0.028562546567301755,1.0,1.0,1.0,1.0,1.0,1.0,True,80.0,0,0,0.0,0,0,0
Dedup-only,1.0,80,0.0,1.0,0.9957156180149047,0.7216681152708333,0.028562546567301762,1.0,1.0,1.0,1.0,1.0,1.0,,,0,0,0.0,0,0,0
Diversity-only,1.0,80,0.0,1.0,0.9957156180149047,0.7216681152708333,0.028562546567301762,1.0,1.0,1.0,1.0,1.0,1.0,,,0,0,0.0,0,0,0
Random,1.0,80,0.0,1.0,0.9957156180149047,0.7216681152708333,0.028562546567301762,1.0,1.0,1.0,1.0,1.0,1.0,,,0,0,0.0,0,0,0
EgoSelect,0.3,24,0.1,1.0,0.9935806579785419,0.36462265130466237,0.04279561347638722,0.7907086364413328,0.9999961747262399,1.0,0.5,1.0,0.3142857142857143,,,8,0,0.0,0,0,0
Dedup-only,0.3,24,0.1,1.0,0.9460117732912998,0.3659027042105345,0.10575484472466767,0.7925383331482773,0.9999971600689791,1.0,0.5,1.0,0.32857142857142857,,,8,3,0.375,0,2,1
Diversity-only,0.3,24,0.1,1.0,0.992672447163093,0.48474485842451576,0.048850352246046724,0.7665265869707768,0.9999946375689415,1.0,0.5833333333333334,1.0,0.34285714285714286,,,8,0,0.0,0,0,0
Random,0.3,24,0.1,0.8333333333333334,0.9692819672985866,0.5434520740200628,0.07770355134275576,0.7703717515858695,0.9999970606656133,1.0,0.4166666666666667,1.0,0.32857142857142857,,,8,2,0.25,0,1,1
EgoSelect,0.3,24,0.2,1.0,0.9932513056705904,0.36249127356803496,0.044991295529396826,0.7831397111508069,0.9999958724021433,1.0,0.5,1.0,0.3142857142857143,,,16,0,0.0,0,0,0
Dedup-only,0.3,24,0.2,1.0,0.9460156249462535,0.35806269169318333,0.10572916702497674,0.7835532798879855,0.9999970978634373,1.0,0.5,1.0,0.32857142857142857,,,16,3,0.1875,0,2,1
Diversity-only,0.3,24,0.2,1.0,0.9682112695771687,0.4507062710345302,0.08484153615220762,0.7710262798591199,0.9999935643410409,1.0,0.5833333333333334,1.0,0.34285714285714286,,,16,1,0.0625,0,1,0
Random,0.3,24,0.2,0.8333333333333334,0.9705491135554668,0.6068219685891728,0.06925590963022193,0.7669469006400509,0.999997682207511,1.0,0.375,1.0,0.3142857142857143,,,16,5,0.3125,0,1,4
EgoSelect,0.3,24,0.3,1.0,0.9932513056705904,0.36103188646795764,0.044991295529396826,0.7864814138122826,0.9999960806865901,1.0,0.5,1.0,0.3142857142857143,,,24,3,0.125,0,0,3
Dedup-only,0.3,24,0.3,1.0,0.9201781222468841,0.37331680232742187,0.15089585168743938,0.7810147050218055,0.999997026931109,1.0,0.5416666666666666,1.0,0.3142857142857143,,,24,4,0.16666666666666666,0,3,1
Diversity-only,0.3,24,0.3,1.0,0.8684014611162008,0.4496111237772456,0.24190692589199428,0.775565913734275,0.9999950298373997,1.0,0.5416666666666666,1.0,0.32857142857142857,,,24,7,0.2916666666666667,0,5,2
Random,0.3,24,0.3,1.0,0.9692864855995369,0.6240084260554565,0.07767342933642146,0.7736146116292242,0.9999963494462345,1.0,0.4166666666666667,1.0,0.3142857142857143,,,24,8,0.3333333333333333,4,1,3
