method,k,fraction,coverage,quality,redundancy
EgoSelect,1,0.0125,0.16666666666666666,1.0,0.0
EgoSelect,2,0.025,0.3333333333333333,0.9997912026726058,-0.3861842454130183
EgoSelect,3,0.0375,0.5,0.9997039917458949,-0.11872051752034991
EgoSelect,4,0.05,0.6666666666666666,0.9992425113343021,-0.03513087822794491
EgoSelect,5,0.0625,0.8333333333333334,0.9988778573820485,-0.034726889683803684
EgoSelect,6,0.075,1.0,0.9983561477269243,0.017817751203896833
EgoSelect,7,0.0875,1.0,0.9985608451282015,0.031777387562954236
EgoSelect,8,0.1,1.0,0.9987407394871763,0.11962083528790517
EgoSelect,9,0.1125,1.0,0.9988249159618453,0.14024702220741048
EgoSelect,10,0.125,1.0,0.9988955493656608,0.14681953395952535
EgoSelect,11,0.1375,1.0,0.9989466728927158,0.19030745133317356
EgoSelect,12,0.15,1.0,0.9989208137880197,0.19787308244207472
EgoSelect,13,0.1625,1.0,0.998993544278205,0.23728120740788966
EgoSelect,14,0.175,1.0,0.9987794473186627,0.23637924329957707
EgoSelect,15,0.1875,1.0,0.9987842868851736,0.2673392887404254
EgoSelect,16,0.2,1.0,0.9988540022436203,0.31688768439313186
EgoSelect,17,0.2125,1.0,0.998758768172906,0.32031336098373875
EgoSelect,18,0.225,1.0,0.9988277254966333,0.3380591389165952
EgoSelect,19,0.2375,1.0,0.9987960742258292,0.35115566124807485
EgoSelect,20,0.25,1.0,0.9987402911330945,0.35344350359181387
EgoSelect,21,0.2625,1.0,0.9985882195040047,0.37646654446724687
EgoSelect,22,0.275,1.0,0.9985405345214655,0.3797609788700764
EgoSelect,23,0.2875,1.0,0.9985503568191593,0.3904263463328288
EgoSelect,24,0.3,1.0,0.9985956788113824,0.4064373500596627
EgoSelect,25,0.3125,1.0,0.9985613539213705,0.4125887004753863
EgoSelect,26,0.325,1.0,0.9984076563625218,0.41375854017487035
EgoSelect,27,0.3375,1.0,0.9983939738815489,0.42313768248970346
EgoSelect,28,0.35,1.0,0.9984172100281815,0.43300150179042307
EgoSelect,29,0.3625,1.0,0.9984706364941099,0.4486990708039704
EgoSelect,30,0.375,1.0,0.9984559058592897,0.47384662607054434
EgoSelect,31,0.3875,1.0,0.9983795664920501,0.4749734572582463
EgoSelect,32,0.4,1.0,0.9983304709966204,0.48745985504206174
EgoSelect,33,0.4125,1.0,0.9983527218210089,0.5094950950813145
EgoSelect,34,0.425,1.0,0.9983945568393255,0.5145604429029218
EgoSelect,35,0.4375,1.0,0.9982995493974954,0.5210873350982319
EgoSelect,36,0.45,1.0,0.9983264589332018,0.5325127889911448
EgoSelect,37,0.4625,1.0,0.9983716897728451,0.5460653971209732
EgoSelect,38,0.475,1.0,0.9984032295307457,0.5626261066751365
EgoSelect,39,0.4875,1.0,0.9983791058508558,0.5761689551686945
EgoSelect,40,0.5,1.0,0.9983552505221807,0.5846266723382413
EgoSelect,41,0.5125,1.0,0.9982439419079268,0.587104304079211
EgoSelect,42,0.525,1.0,0.9982070653222579,0.5997950698610953
EgoSelect,43,0.5375,1.0,0.9982136221982288,0.6023136139198717
